city,area,expenditures,communal_meal_parti,common_purchase_food_parti,community_workshop_parti,work_exchange_parti,fundraising_parti,communal_child_care_parti,prepare_for_fund_parti,communal_construction_parti,property_invasion_parti,security_committee_parti,election_champaign_parti,denomination,religiousness,bins,n_bins,binnr,score2_1,score2_2,score2_1sq,score2_2sq,score2_1cu,score2_2cu,moremoneyold,moremoneynew,winnersvsalwayslosers,losersvsalwayswinners,group,householdsize,ageresponder,schooling_resp,protestant,attendance,attendpermonth,Received_BDH
guayaquil,tarqui,280,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,3,34.200001,121,7,-2.3449988,0,5.4990196,0,-12.895194,0,0,1,1,,winners,3,50,13,1,never,0,1
guayaquil,pascuales,290,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,10,34.200001,121,7,-2.0700011,0,4.2849045,0,-8.8697577,0,0,1,1,,winners,7,33,10,1,every day,30,1
guayaquil,tarqui,160,0,0,0,0,0,0,0,0,0,0,0,catholic,3,36.200001,171,12,-.20300063,0,.041209258,0,-.0083655054,0,0,1,1,,winners,5,39,12,0,2 to 3 times a month,2.5,1
guayaquil,pascuales,200,0,0,0,0,0,0,0,1,0,0,0,catholic,8,32.599998,81,3,-3.9400001,0,15.523601,0,-61.162987,0,0,1,1,,winners,8,52,3,0,once a week,4,0
guayaquil,pascuales,200,1,0,0,0,0,0,0,0,0,0,0,non-catholic christian,5,39,110,19,2.7320008,2.7320008,7.4638286,7.4638286,20.391186,20.391186,1,0,,0,losers,4,32,12,1,once a week,4,0
guayaquil,pascuales,200,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,10,36.599998,96,13,.35299912,.35299912,.12460838,.12460838,.043986648,.043986648,1,0,,0,losers,4,49,9,1,every day,30,0
guayaquil,pascuales,300,0,0,0,0,1,0,0,0,0,0,0,catholic,2,33.400002,113,5,-2.9530005,0,8.720212,0,-25.750792,0,1,1,,1,always-winners,2,66,6,0,once a month,1,1
guayaquil,pascuales,300,0,0,0,0,0,0,0,0,0,0,0,catholic,10,34.599998,120,8,-1.698999,0,2.8865979,0,-4.9043269,0,1,1,,1,always-winners,2,32,10,0,4 to 6 times a week,20,1
guayaquil,pascuales,200,0,0,0,0,0,0,0,0,0,0,0,catholic,10,36.200001,171,12,-.018998718,0,.00036095129,0,-6.8576114e-06,0,0,1,1,,winners,2,67,6,0,once a week,4,0
guayaquil,pascuales,200,0,0,0,0,0,0,0,0,0,0,0,catholic,10,36.599998,96,13,.31899872,.31899872,.10176019,.10176019,.032461371,.032461371,1,0,,0,losers,3,53,2,0,once a week,4,0
guayaquil,pascuales,300,0,0,0,0,1,0,0,0,0,0,0,catholic,3,34.200001,121,7,-2.2829986,0,5.2120824,0,-11.899177,0,1,1,,1,always-winners,6,40,12,0,less than once a month,0,1
guayaquil,pascuales,200,0,0,0,0,0,0,0,1,0,0,0,catholic,5,36.599998,96,13,.14100114,.14100114,.019881319,.019881319,.0028032886,.0028032886,1,0,,0,losers,4,49,6,0,only for special occasions,0,0
guayaquil,pascuales,300,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,5,40.200001,116,22,3.8529992,3.8529992,14.845603,14.845603,57.200096,57.200096,1,0,,0,losers,6,31,6,1,never,0,0
guayaquil,pascuales,200,0,0,0,0,0,0,0,1,0,0,0,non-catholic christian,8,38.200001,139,17,1.7699989,1.7699989,3.1328962,3.1328962,5.5452228,5.5452228,1,0,,0,losers,5,32,8,1,4 to 6 times a week,20,0
guayaquil,pascuales,150,0,0,0,0,0,0,0,0,0,0,0,catholic,1,39.400002,133,20,3.0250001,3.0250001,9.1506252,9.1506252,27.680643,27.680643,0,0,0,,always-losers,3,31,12,0,never,0,0
guayaquil,pascuales,200,0,0,0,0,0,0,0,0,0,0,0,catholic,10,37.400002,103,15,.81199872,.81199872,.65934193,.65934193,.53538483,.53538483,0,0,0,,always-losers,2,49,6,0,once a week,4,0
guayaquil,pascuales,100,1,0,1,0,1,1,0,0,0,0,0,non-catholic christian,10,36.200001,171,12,-.12999877,0,.016899681,0,-.0021969378,0,1,1,,1,always-winners,1,54,6,1,every day,30,1
guayaquil,pascuales,400,0,0,0,0,0,0,0,0,0,0,0,catholic,10,37.799999,110,16,1.5220016,1.5220016,2.316489,2.316489,3.5256999,3.5256999,0,0,0,,always-losers,4,44,7,0,once a week,4,0
guayaquil,pascuales,150,1,1,0,0,1,1,0,1,0,0,0,catholic,5,38.599998,126,18,2.2940011,2.2940011,5.2624412,5.2624412,12.072045,12.072045,0,0,0,,always-losers,3,42,6,0,less than once a month,0,0
guayaquil,pascuales,400,0,0,0,0,0,0,0,0,0,0,0,catholic,8,38.599998,126,18,2.2440019,2.2440019,5.0355444,5.0355444,11.299771,11.299771,1,0,,0,losers,6,53,12,0,once a week,4,0
guayaquil,pascuales,350,0,1,0,1,0,0,0,0,0,0,0,catholic,9,38.200001,139,17,1.873999,1.873999,3.5118723,3.5118723,6.5812449,6.5812449,1,0,,0,losers,7,31,12,0,less than once a month,0,0
guayaquil,pascuales,360,0,0,0,0,1,0,0,0,0,0,0,catholic,5,33.400002,113,5,-3.1579986,0,9.9729548,0,-31.494577,0,0,1,1,,winners,2,55,6,0,only for special occasions,0,1
guayaquil,pascuales,350,0,0,0,0,0,0,0,0,0,0,0,catholic,10,36.200001,171,12,-.16200027,0,.026244087,0,-.004251549,0,0,1,1,,winners,6,48,1,0,2 to 3 times a month,2.5,0
guayaquil,pascuales,300,0,0,0,0,0,0,0,0,0,0,0,catholic,5,36.200001,171,12,-.23499832,0,.05522421,0,-.012977596,0,0,1,1,,winners,4,45,3,0,2 to 3 times a month,2.5,0
guayaquil,pascuales,300,0,0,0,0,0,1,0,0,0,0,0,catholic,5,36.200001,171,12,-.18700179,0,.034969673,0,-.0065393914,0,1,1,,1,always-winners,5,32,8,0,less than once a month,0,1
guayaquil,tarqui,550,0,0,0,0,1,0,0,0,0,0,0,catholic,5,32.200001,94,2,-4.0329986,0,16.265078,0,-65.597031,0,0,1,1,,winners,8,52,9,0,less than once a month,0,1
guayaquil,pascuales,320,0,0,0,0,0,0,0,0,0,0,0,catholic,3,40.599998,144,23,4.0290017,4.0290017,16.232855,16.232855,65.402199,65.402199,0,0,0,,always-losers,5,42,11,0,once a month,1,0
guayaquil,pascuales,260,0,0,0,0,0,0,0,0,0,0,0,catholic,8,39.799999,139,21,3.322001,3.322001,11.03569,11.03569,36.660576,36.660576,0,0,0,,always-losers,3,39,12,0,never,0,0
quito,el condado,100,0,0,0,0,0,0,0,0,0,0,0,catholic,5,39.799999,139,21,3.5030007,3.5030007,12.271014,12.271014,42.985371,42.985371,1,0,,0,losers,2,63,0,0,only for special occasions,0,0
guayaquil,tarqui,500,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,4,35,146,9,-1.5640007,0,2.4460983,0,-3.8256996,0,0,1,1,,winners,7,35,12,1,every day,30,0
guayaquil,pascuales,250,0,0,0,0,0,0,0,0,0,0,0,catholic,3,36.200001,171,12,-.29400024,0,.086436138,0,-.025412247,0,0,1,1,,winners,4,28,1,0,never,0,1
guayaquil,tarqui,200,0,0,0,0,0,0,0,0,0,0,0,atheist/none,0,34.599998,120,8,-1.6229988,0,2.6341252,0,-4.2751822,0,0,1,1,,winners,4,38,9,0,never,0,0
guayaquil,pascuales,280,0,0,0,0,1,0,0,0,0,0,0,catholic,3,39,110,19,2.5150018,2.5150018,6.3252339,6.3252339,15.907974,15.907974,0,0,0,,always-losers,5,49,11,0,never,0,0
quito,el condado,200,0,0,0,0,0,0,0,0,0,0,0,catholic,5,37.400002,103,15,.96000135,.96000135,.92160261,.92160261,.88473976,.88473976,0,0,0,,always-losers,5,60,6,0,once a week,4,0
quito,el condado,257,1,0,0,0,0,0,0,0,0,0,0,catholic,5,34.599998,120,8,-1.6029984,0,2.5696037,0,-4.1190705,0,0,1,1,,winners,5,49,10,0,2 to 3 times a month,2.5,1
quito,el condado,273,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,10,40.599998,144,23,4.1270013,4.1270013,17.032139,17.032139,70.291664,70.291664,1,0,,0,losers,5,37,6,1,2 to 3 times a week,10,0
quito,el condado,260,0,0,0,0,0,0,0,1,0,0,0,catholic,8,40.200001,116,22,3.7139993,3.7139993,13.793791,13.793791,51.230129,51.230129,1,0,,0,losers,5,33,12,0,2 to 3 times a month,2.5,0
quito,el condado,108,0,0,0,0,0,0,0,0,1,0,0,non-catholic christian,2,40.599998,144,23,4.1849999,4.1849999,17.514225,17.514225,73.297028,73.297028,1,0,,0,losers,3,62,0,1,2 to 3 times a week,10,0
quito,el condado,268,0,0,0,0,0,0,0,0,0,0,0,catholic,7,34.599998,120,8,-1.7660004,0,3.1187575,0,-5.5077267,0,0,1,1,,winners,3,37,8,0,once a month,1,1
quito,el condado,380,0,0,0,0,0,0,0,0,0,0,1,non-catholic christian,5,40.200001,116,22,3.7320008,3.7320008,13.92783,13.92783,51.978672,51.978672,0,0,0,,always-losers,6,48,6,1,2 to 3 times a week,10,0
quito,el condado,255,0,0,0,0,0,0,0,0,0,0,0,catholic,5,33.400002,113,5,-2.8869987,0,8.3347616,0,-24.062445,0,1,1,,1,always-winners,6,40,6,0,2 to 3 times a month,2.5,1
quito,el condado,275,0,0,0,0,0,0,0,1,0,0,0,catholic,8,34.599998,120,8,-1.8980004,0,3.6024053,0,-6.8373666,0,1,1,,1,always-winners,6,48,4,0,2 to 3 times a month,2.5,1
quito,el condado,319,0,0,0,0,0,0,0,0,0,0,0,catholic,10,39.799999,139,21,3.3379998,3.3379998,11.142242,11.142242,37.192806,37.192806,1,0,,0,losers,5,40,6,0,2 to 3 times a month,2.5,0
quito,el condado,302,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,5,37,85,14,.77200162,.77200162,.59598649,.59598649,.46010256,.46010256,1,0,,0,losers,4,39,0,1,once a week,4,0
quito,el condado,235,0,0,0,0,0,0,1,1,0,0,1,catholic,5,39.400002,133,20,2.8529992,2.8529992,8.1396046,8.1396046,23.222284,23.222284,1,0,,0,losers,5,49,6,0,never,0,0
guayaquil,pascuales,180,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,2,32.599998,81,3,-3.8970008,0,15.186615,0,-59.182251,0,0,1,1,,winners,2,33,7,1,2 to 3 times a month,2.5,1
guayaquil,pascuales,260,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,10,40.599998,144,23,4.2400002,4.2400002,17.977602,17.977602,76.225037,76.225037,0,0,0,,always-losers,3,42,18,1,every day,30,0
guayaquil,pascuales,500,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,2,33.400002,113,5,-2.9889998,0,8.9341202,0,-26.704084,0,0,1,1,,winners,7,36,14,1,once a week,4,0
guayaquil,pascuales,350,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,10,40.599998,144,23,4.0059991,4.0059991,16.048029,16.048029,64.288391,64.288391,0,0,0,,always-losers,3,30,12,1,once a week,4,0
guayaquil,pascuales,30,0,0,0,0,0,0,0,0,0,0,0,catholic,7,35.799999,117,11,-.63200152,0,.39942592,0,-.2524378,0,0,1,1,,winners,2,39,2,0,2 to 3 times a week,10,1
guayaquil,pascuales,400,0,0,0,0,0,0,0,0,0,0,0,catholic,8,36.599998,96,13,.24199906,.24199906,.058563545,.058563545,.014172323,.014172323,0,0,0,,always-losers,12,56,6,0,only for special occasions,0,0
guayaquil,pascuales,300,0,0,0,0,0,0,0,0,0,0,0,catholic,6,35,146,9,-1.3809983,0,1.9071562,0,-2.6337793,0,1,1,,1,always-winners,6,50,6,0,never,0,1
guayaquil,pascuales,300,0,0,0,0,1,0,0,0,0,0,0,catholic,10,37,85,14,.68699872,.68699872,.47196725,.47196725,.32424089,.32424089,0,0,0,,always-losers,3,65,3,0,once a week,4,0
guayaquil,pascuales,200,0,0,0,0,0,0,0,1,0,0,0,catholic,5,37,85,14,.78199995,.78199995,.61152393,.61152393,.47821167,.47821167,0,0,0,,always-losers,4,90,12,0,once a month,1,0
guayaquil,pascuales,400,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,6,37,85,14,.4169983,.4169983,.17388758,.17388758,.072510824,.072510824,0,0,0,,always-losers,5,44,6,1,only for special occasions,0,0
guayaquil,pascuales,350,0,0,0,0,0,0,0,0,0,0,0,catholic,7,39.400002,133,20,3.1579995,3.1579995,9.9729605,9.9729605,31.494606,31.494606,0,0,0,,always-losers,5,42,12,0,once a week,4,0
guayaquil,pascuales,350,0,0,0,0,0,0,0,0,0,0,0,catholic,8,37.400002,103,15,1.0469993,1.0469993,1.0962076,1.0962076,1.1477287,1.1477287,0,0,0,,always-losers,7,36,12,0,once a week,4,0
guayaquil,pascuales,400,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,7,39.799999,139,21,3.2709985,3.2709985,10.699431,10.699431,34.997822,34.997822,0,0,0,,always-losers,7,37,6,1,4 to 6 times a week,20,0
guayaquil,pascuales,400,0,0,0,0,0,0,0,0,0,0,0,catholic,6,32.599998,81,3,-3.8190017,0,14.584774,0,-55.699276,0,1,1,,1,always-winners,5,27,12,0,2 to 3 times a month,2.5,1
guayaquil,tarqui,200,0,0,0,0,0,0,0,0,0,0,0,catholic,10,32.599998,81,3,-3.9499984,0,15.602488,0,-61.629799,0,1,1,,1,always-winners,6,31,6,0,once a week,4,1
guayaquil,pascuales,250,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,7,40.599998,144,23,4.2390008,4.2390008,17.969128,17.969128,76.17115,76.17115,0,0,0,,always-losers,3,40,3,1,2 to 3 times a month,2.5,0
guayaquil,pascuales,600,0,0,0,0,0,0,0,0,0,0,0,catholic,10,35.400002,120,10,-.86300051,0,.74476987,0,-.64273679,0,1,1,,1,always-winners,7,46,6,0,4 to 6 times a week,20,1
guayaquil,tarqui,250,0,0,0,0,0,0,0,0,0,1,0,catholic,8,33.400002,113,5,-2.9709983,0,8.8268309,0,-26.224499,0,0,1,1,,winners,4,35,3,0,only for special occasions,0,1
guayaquil,pascuales,60,0,0,0,0,0,0,1,0,0,0,0,catholic,7,39.799999,139,21,3.5040002,3.5040002,12.278017,12.278017,43.022175,43.022175,0,0,0,,always-losers,7,63,0,0,less than once a month,0,1
guayaquil,pascuales,150,0,0,0,0,0,0,0,0,0,0,0,catholic,8,36.599998,96,13,.10800018,.10800018,.011664039,.011664039,.0012597183,.0012597183,0,0,0,,always-losers,4,57,3,0,only for special occasions,0,0
guayaquil,pascuales,100,0,0,0,1,0,0,1,1,0,1,1,catholic,8,36.599998,96,13,.17600098,.17600098,.030976346,.030976346,.0054518674,.0054518674,0,0,0,,always-losers,3,58,3,0,once a week,4,0
guayaquil,pascuales,300,0,0,0,0,0,0,0,1,0,0,0,catholic,7,32.599998,81,3,-3.7059989,0,13.734427,0,-50.899773,0,1,1,,1,always-winners,6,65,3,0,2 to 3 times a week,10,1
guayaquil,pascuales,400,1,1,1,0,1,1,1,1,0,0,0,non-catholic christian,8,33,102,4,-3.4310012,0,11.77177,0,-40.388954,0,1,1,,1,always-winners,5,32,9,1,once a month,1,1
guayaquil,pascuales,115,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,7,36.200001,171,12,-.26799926,0,.071823604,0,-.019248674,0,1,1,,1,always-winners,3,35,9,1,never,0,1
guayaquil,pascuales,360,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,5,37.400002,103,15,1.0419983,1.0419983,1.0857604,1.0857604,1.1313604,1.1313604,0,0,0,,always-losers,5,33,8,1,only for special occasions,0,0
guayaquil,pascuales,50,0,0,0,0,0,0,0,0,0,0,0,catholic,3,40.599998,144,23,4.0920014,4.0920014,16.744476,16.744476,68.518417,68.518417,0,0,0,,always-losers,1,59,6,0,only for special occasions,0,0
guayaquil,tarqui,200,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,9,35,146,9,-1.5510002,0,2.4056017,0,-3.7310889,0,0,1,1,,winners,3,65,6,1,every day,30,0
guayaquil,pascuales,350,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,6,34.200001,121,7,-2.1610007,0,4.6699243,0,-10.091709,0,1,1,,1,always-winners,4,45,12,1,2 to 3 times a week,10,1
guayaquil,pascuales,250,0,0,0,0,0,0,0,0,0,0,0,catholic,9,35.799999,117,11,-.55000079,0,.30250087,0,-.16637571,0,1,1,,1,always-winners,7,40,6,0,only for special occasions,0,1
guayaquil,pascuales,340,0,1,0,0,0,0,0,0,1,0,0,non-catholic christian,8,35.400002,120,10,-1.0440003,0,1.0899366,0,-1.137894,0,0,1,1,,winners,5,33,6,1,2 to 3 times a week,10,1
guayaquil,pascuales,200,0,0,0,0,1,0,0,0,0,0,0,catholic,6,35.799999,117,11,-.69500124,0,.48302674,0,-.33570418,0,1,1,,1,always-winners,5,54,2,0,never,0,1
